Name,Website,HQ,Type,Estimated Site Count,States,Intera ICP Score,Overall Site Quality,Recruitment Strength,Operational Maturity,Sponsor Attractiveness,Therapeutic Expertise,Historical Trials (CT.gov),Completed,Terminated/Withdrawn,Completion Rate %,Active Now,Recruiting Studies,Phase 2 Trials,Phase 3 Trials,Total Realized Enrollment,First Study Year,Years Active,Therapeutic Breadth (conditions),Performance Match Confidence,Sponsor Diversity (#),CRO Diversity (#),Repeat Sponsors (#),Industry-Sponsored Studies,Top Sponsors,Named CROs,Enrollment Velocity (inf),Startup Speed (inf),Recruitment Sophistication,Publication History (inf),CTMS,EHR,eSource,eConsent,Florence,CRIO,Clinical Conductor,RealTime,Epic,Cerner,Therapeutic Areas,Therapeutic Specialties (detail),Languages,Home Visits,Decentralized Capabilities,Number of Investigators,Approx Coordinator Count,Sponsors Worked With,CROs Worked With,Public Partnerships,Recent Hiring,Expansion,Funding,Acquisitions,Owner/Parent/Funding,Facebook Ads,Meta Pixel,Google Ads,SEO,Trial Finder,Patient Database,Recruitment Pages,Advertises Patient Recruitment,Technology Stack,Uses AI,Builds Tech Internally or Vendors,Current Recruiting Studies Visible,CEO,VP Clinical Operations,VP Site Operations,VP Recruitment/Innovation,Contact Emails,LinkedIn URL,Mentions DCT,Recruitment Capability,Notes
Valley Clinical Trials,https://flourishresearch.com,"Apex, North Carolina",Site Network,15,"California, Florida, Georgia, Illinois, Michigan, Maryland, North Carolina, Pennsylvania, Texas",8,92,89,91,97,90,800,479,106,82,204,100,227,498,1211878,1997,29,593,low (approx),269,142,83,778,Eli Lilly and Company; Pfizer; AbbVie; Novo Nordisk A/S; Amgen; Merck Sharp & Dohme LLC,"Acrotech Biopharma Inc.; IQVIA Biotech; IQVIA Pty Ltd; Medpace, Inc.; PPD, Part of Thermo Fisher Scientific; Parexel",41789,91,71,88,,,Y,,,,,,,,"Cardiovascular, Metabolic, Kidney disease, Obesity, Heart Failure, Diabetes, Alzheimer's","Cardiometabolic, oncology, neuroscience, infectious disease, vaccines",English + Spanish (detected),,Y - multi-site network,150,,,,"NMS Capital portfolio, Genstar Capital majority stake",,"Y - 24 sites as of Sept 2024, acquired Valley name in 2023",Genstar Capital majority investment (Sept 2024),Valley Clinical Trials acquisition (Sept 2023),Acquired by Genstar Capital (2024); Previously independent until acquisition by Flourish Research (2023),Y,Y,,,Y,,Y,Y,"Proprietary centralized recruitment platform, integrated technology infrastructure",N,Vendors,Y,Reinhold Schulz,Unknown,Leisel Koerber (VP Operations),Unknown,haydee@valleyclinicaltrials.com,https://www.linkedin.com/company/flourishresearch,N,"Strong - top enroller status, 400,000+ potential participant access, diverse population focus","Valley Clinical Trials (formerly independent, 2 CA locations) acquired by Flourish Research Sept 2023, now part of multi-state network. 15 active recruiting cardiometabolic trials per ClinicalTrials.gov mining - strong signal. Multi-site operation with established recruitment infrastructure and diverse patient access. Part of rapidly growing national network with institutional backing."
National Heart Institute,https://nationalheartinstitute.org,"Beverly Hills, California",Independent Site,1,California,7,92,85,92,96,98,800,451,58,89,261,123,193,374,937299,1981,45,1453,low (approx),255,238,71,556,"Children's Oncology Group; National Cancer Institute (NCI); National Heart, Lung, and Blood Institute (NHLBI); Pfizer; Eli Lilly and Company; Novo Nordisk A/S",ICON plc; IQVIA Commercial GmbH & Co. OHG; IQVIA Pvt. Ltd; MacroGenics; MicroPort CRM; Worldwide Clinical Trials,20829,74,71,97,,,,,,,,,,,"Cardiovascular diseases, Heart failure, Coronary artery disease, Hypertension, Metabolic disorders, Diabetes, Obesity, Chronic kidney disease","Cardiovascular, metabolic (heart failure, CAD, hypertension, cholesterol, obesity, diabetes, CKD, arrhythmias)",English + Spanish (detected),,,"Multiple (Dr. Norman Lepor, Johns Hopkins-trained, 60+ trials)",Multiple clinical research coordinators,,,,,,,,Founded/led by Dr. Norman Lepor (Cedars-Sinai affiliated),Y (Meta Pixel detected),Y,,Y - active blog with cardiovascular research articles,,Y,Y,Y,Clinical research databases; emphasis on patient safety monitoring and protocol adherence tracking,N,Vendors (research data management systems),Y,Dr. Norman Lepor,"Maria Flores (Director, Clinical Trial Operations)",,,mflores@nationalheartinstitute.org,https://www.linkedin.com/in/norman-lepor-b1b27126,N,Active patient recruitment with emphasis on underserved communities; free participation with compensation and transportation support,"Strong cardiovascular and metabolic disease focus with 7 active recruiting cardiometabolic trials (ClinicalTrials.gov validation). Founder-led, physician-directed research site with 30+ years clinical research experience. Emphasis on patient accessibility and enrollment in underserved populations. Single location but strong recruitment capabilities and therapeutic focus align with Intera ICP. Score reflects: strong recruitment narrative, cardiometabolic specialization, and physician leadership; limited by single-site constraint."
Coastal Carolina Research Center,https://coastalcarolinaresearch.com,"Mount Pleasant/Charleston, SC",Independent Network,1,SC,4,92,93,90,93,90,649,412,60,87,165,67,181,388,1071831,1999,27,903,high,243,77,94,598,Pfizer; National Cancer Institute (NCI); Eli Lilly and Company; AbbVie; Alliance for Clinical Trials in Oncology; Novo Nordisk A/S,"ICON plc; IQVIA Biotech; IQVIA Pty Ltd; Lexicon Pharmaceuticals; Medpace, Inc.; Novotech (Australia) Pty Limited",39697,94,86,87,,,,,,,,,,,"Multi-specialty: Vaccines, CNS (Migraines, Psychiatric), Men's Health, Cardiovascular, Metabolic, Chronic Pain, Dermatology, Gastroenterology","Multi-therapeutic (psychiatry, neurology, dermatology, infectious disease, primary care)",,,N,Unknown (experienced team mentioned),Unknown (part of Alcanza network),,,Part of Alcanza Clinical Research network,"Y (Clinical Research Coordinator, Research Coordinator, Physician positions posted)",Active recruitment for staff; multi-site network growth,,Part of Alcanza acquisition/network,Unknown,Y (Meta Pixel detected),Y,,"Y (recruitment newsletter, volunteer outreach)",Y,"Y (~23,000 active volunteers via Clinasyst)",Y,Y,"HubSpot Analytics, Facebook Pixel, HTTP/3",N,"Vendors (HubSpot, Facebook Pixel)",Y,Unknown (Nathan Morton was President 2022-2022),Unknown,Unknown,Unknown,Unknown,https://www.linkedin.com/company/coastal-carolina-research-center,N,Access to thousands of Charleston Lowcountry residents; community-focused; local recruitment emphasis,"Single dedicated Charleston research facility; founded 1997; excellent multi-therapeutic coverage (vaccines, CNS, CV, metabolic); strong community recruitment emphasis; does not meet SMO/network scale criteria"
Cedar Health Research,https://cedarhealthresearch.com,"Dallas, TX",Site Network,6,TX,8,91,85,95,89,98,800,459,60,88,260,88,327,412,770887,1992,34,1743,low,139,109,51,597,Alliance for Clinical Trials in Oncology; National Cancer Institute (NCI); SWOG Cancer Research Network; Eastern Cooperative Oncology Group; Children's Oncology Group; Pfizer,"ICON Clinical Research; IQVIA Pty Ltd; PPD Development, LP; Premier Research; Teva Branded Pharmaceutical Products R&D LLC; Worldwide Clinical Trials",22673,94,71,96,RealTime (transitioned 2024),Integration with partner EMRs via Aspen Forge,Y; Aspen Insights eSource capabilities,,,,,,,,"Vaccines, women's health, neurology, metabolic disease, cardiovascular disease, endocrinology, general medicine","Women's Health, Endocrinology, Neurology, Cardiology, Internal Medicine",English + Spanish (detected),,,,,,,,,Opening two new Texas sites; scaling network,,None identified,Private; Founded 2019,Y,Y,,"Strong; Aspen Insights technology content, feasibility analysis focus",Y,Y; Aspen Forge patient matching and population analytics,,Y,Aspen Insights/Aspen Forge (proprietary ML patient matching platform); EMR integration; population analytics dashboard,Y,Builds internally (Aspen Forge proprietary),Y,Unknown,Unknown,Unknown,Unknown,info@cedarresearch.com,Unknown,N,AI-powered patient matching from 530+ physician practice partnerships (1.8M patient access); direct EMR integration for automated feasibility; diverse population recruitment focus,"Strong Intera fit: AI-powered recruitment platform, multi-site Texas network, diverse patient populations, 1.8M patient access, direct EMR integration, innovation-forward tech development. Focus on underrepresented populations and rural access expansion demonstrates recruitment capability and growth mindset. Relatively new but rapidly scaling. [Validated: 19 active recruiting cardiometabolic trials on ClinicalTrials.gov.]"
Chase Medical Research,https://www.chasemr.com/,"Waterbury, Connecticut",Independent Site,2,Connecticut,7,91,82,94,96,96,800,495,101,83,176,66,318,399,636030,1993,33,1223,low,239,157,74,681,National Cancer Institute (NCI); Radiation Therapy Oncology Group; Eastern Cooperative Oncology Group; Gynecologic Oncology Group; Pfizer; Alliance for Clinical Trials in Oncology,"Acrotech Biopharma Inc.; Fortrea; MacroGenics; Parexel; The Emmes Company, LLC",19274,92,71,95,,,Y,Y,,,,,,,"Endocrine (Type 2 Diabetes, DPN, NASH, Fatty Liver), Obesity, Cardiovascular, Nephrology, Vaccines, Devices, Pain Management","Diabetes (T2, neuropathy), obesity/weight mgmt, cardiovascular (hyperlipidemia, hypertension), liver disease (NAFLD/NASH), CKD/anemia, migraines, osteoarthritis, GI (GERD, IBS), respiratory, pain, overactive bladder, devices",,,,"1+ (Dr. Joseph Soufer, founder/CEO)",25+ employees planned for 2025,170+ sponsors/CROs,170+ CROs,PhaseWell Research (acquired 2026),"Y - Clinical Research Coordinators (APRN/PA, RN/LPN, Assistants)","Y - 2 Connecticut locations, 96% retention rate, 400+ trials",PhaseWell Research (acquired March 2026),Acquired by PhaseWell Research (March 2026),Unknown,Y (Meta Pixel detected),Y,,Active website with capabilities/facility info,Y,"Y (750,000+ potential subjects in catchment)",,Y,Unknown,N,Unknown,Y,"Joseph Soufer, MD",Unknown,Unknown,Kate Schrack (Recruitment & Engagement Manager),"research@chasemr.com, 203-465-7924, 203-419-4404",https://www.linkedin.com/company/chase-medical-research-llc,N,"High - 750,000+ catchment area, 16,050 sq ft research space, 99% enrollment success on vaccine/healthy trials","Established 2000, 350+ trials conducted, 96% retention on long-term trials, multi-therapeutic focus. ClinicalTrials.gov validation: 5 active recruiting cardiometabolic trials. Strong recruitment capability and proven enrollment track record make this a good fit for Intera. No visible AI or DCT adoption."
Northwest Clinical Research Center,https://www.nwcrc.net/,Washington,Independent Site,1,Washington,6,91,82,91,97,95,798,451,106,81,226,89,257,463,629401,1994,32,1193,high,289,132,96,725,National Cancer Institute (NCI); Pfizer; Eli Lilly and Company; SWOG Cancer Research Network; AbbVie; Hoffmann-La Roche,"ICON Clinical Research; IQVIA Pvt. Ltd; MacroGenics; Medpace, Inc.; MicroConstants; PPD Development, LP",19669,90,71,95,,,,,,,,,,,"Neurological, Psychiatric, Pediatric, Metabolic, Women's Health, Depression, Migraines, Alzheimer's, Diabetes",,English,,,7+ Board-Certified Physicians,Experienced specialized research team,Multiple sponsors,,Flatiron Health (EHR-to-EDC connector deployment),,"Bellevue, WA; 30+ years experience; 750+ clinical trials conducted",,,Independent,,,Y,"Focused on Alzheimer's, depression, schizophrenia; therapeutic area pages",Y,Y,Y,Y,State-of-the-art research facilities,Unknown,Unknown,Y,Unknown,Gunasheela Jagadeesh (Associate Director of Clinical Services),Kimberlee Wheeler (Director of Operations),Unknown,recruitment@nwcrc.net,https://www.linkedin.com/company/northwest-clinical-research-center,N,"High - 750+ clinical trials, 50+ ongoing studies",Founded 1995/1999. ClinicalTrials.gov validation: 7 active recruiting cardiometabolic trials. Over 30 years experience. 7 Board-Certified Principal Investigators. 45 employees. Strong multi-specialty research capabilities. High-quality data generation focus.
Wellness Research Center,https://wellnessresearchinc.com,"Miami, Florida",Independent Site,1,Florida,6,91,82,92,96,95,800,460,90,84,233,103,235,453,876976,1996,30,1136,low (approx),216,155,85,680,National Cancer Institute (NCI); Pfizer; SWOG Cancer Research Network; Eli Lilly and Company; AbbVie; Alliance for Clinical Trials in Oncology,ABX CRO; ICON Clinical Research; IQVIA Pty Ltd; IRCCS Sacro Cuore Don Calabria di Negrar; PSI CRO; Premier Research,29233,92,57,91,,,,,,,,,,,"Psychology/Psychiatry/Neurology, Cardiology, Endocrinology, Oncology, Hematology, Sleep Medicine, Pulmonology, Internal/Family Medicine, Pain Management, Gastroenterology, Dermatology, Rheumatology, Substance Abuse","Multi-specialty (oncology, sleep medicine, pulmonology, cardiology, endocrinology, neurology, dentistry, vaccines, dermatology)","English, Spanish",,N; Miami-based,"Multiple (psychology, psychiatry, neurology, cardiology, endocrinology, periodontology)",,Pharma/biotech,,Miami Dade Community Services (MDCS),,N; Miami location,,N,"Wellness Community Services Org Inc. (parent); Officer: Jose M. Roig (VPS, PTE, T)",,,,Y; participant and sponsor sections,Y,Y,Y,Yes,Unknown,Unknown,Unknown,"Yes - Active MDD, Alzheimer's, dementia trials",Unknown,Unknown,Unknown,Unknown,,Unknown,No,Yes - Broad therapeutic portfolio with community partnerships,"ClinicalTrials.gov signal: 5 recruiting trials across 1 location(s), states: Florida. Miami-based clinical research site with partnership with Miami Dade Community Services for substance abuse outreach. Bilingual staff. Extensive database with multi-focal recruitment approach. Collaboration with established community health center. Founded 2021 (fictitious name filing). Phone: (786) 238-7099, (786) 238-7459. Broad therapeutic portfolio appeals to diverse sponsor base."
Penn Medicine,https://www.med.upenn.edu/clinicalresearch/,"Philadelphia, Pennsylvania",Academic Network,Unknown,"Pennsylvania, New Jersey",8,90,81,89,97,98,800,403,78,84,297,137,234,361,15979165,1991,35,1551,low (approx),260,241,76,563,National Cancer Institute (NCI); Milton S. Hershey Medical Center; Children's Oncology Group; University of Pennsylvania; Alliance for Clinical Trials in Oncology; Radiation Therapy Oncology Group,"IQVIA Pty Ltd; Parexel; Rho Federal Systems Division, Inc.; The Emmes Company, LLC",456548,72,43,96,PennCRMS (Velos),Epic (PennChart) - research-specific features,Y - electronic data capture,Y - e-consent features in recent updates,,,,,,,"Oncology, Cardiology, CAR-T Therapy, Cancer Prevention, Translational Research",Multi-specialty across medical school departments,,,,Multiple faculty investigators,,Multiple pharma (not named),Multiple,University of Pennsylvania Health System,,,Academic institution (University of Pennsylvania),,"Non-profit Academic Medical Center (250+ years, founded 1765), Part of University of Pennsylvania",N,,,Y - academic presence,Y,Y - through Epic/PennChart,Y,N,"Cloud-based platforms, AI/ML for trial data monitoring (FDA pilot program mentioned), TriNetX platform, Penn Medicine BioBank, RADAR imaging platform",Y,"Mixed - Internal development and partnerships (TriNetX, Azure, DNANexus)",Y,"Kevin Mahoney (Health System CEO), Jonathan Epstein (Dean of Medicine)","Emma A. Meagher, MD (Vice Dean for Clinical and Translational Research, VP Clinical Research)",Unknown,Unknown,Lydia.Giles@pennmedicine.upenn.edu,https://www.linkedin.com/company/university-of-pennsylvania-health-system/,N,High - integrated learning health system with electronic health record mining and real-time trial recruitment,"World-leading academic medical center with $11.9B enterprise, 1,000+ sponsored research, AI/ML adoption for real-time trial monitoring, learning health system. Office of Clinical Research provides centralized support. ctgov_note: 7 recruiting trials across 4 location(s), states: New Jersey, Pennsylvania"
West Clinical Research,https://www.westclinicalresearch.com,"Morehead City, North Carolina",Independent Site,1,North Carolina,7,90,79,90,98,97,800,469,77,86,241,121,242,433,669284,1994,32,1264,low (approx),290,170,85,720,Pfizer; AbbVie; National Cancer Institute (NCI); Hoffmann-La Roche; Eli Lilly and Company; Merck Sharp & Dohme LLC,Clinipace Worldwide; ICON Clinical Research; IQVIA Biotech; IQVIA Pty Ltd; IQVIA Pvt. Ltd; Laboratorios Liconsa,20915,73,57,95,,,,,,,,,,,"Type 2 Diabetes, Alzheimer's Disease, Cardiovascular, Pain/Diabetic Peripheral Neuropathy, Osteoarthritis, Gout, Obesity, Vaccines, Orthopedic Surgery, Sleep Medicine, Addiction, Depression",Multi-therapeutic (broad range),,,,Multiple (local experienced team),,Multiple,,Independent,,,,N,"Founded by Dr. Jeffrey K. Moore, Jordan Lewis, Luke Snedaker; Privately held",Possibly (Meta Pixel detected),Y,,Y (local established presence),Y,,Y,Yes,Unknown,Unknown,Unknown,Yes - 6 studies visible with compensation,Luke Snedaker,"Jeffrey Moore, MD (Chief Medical Officer)",Unknown,Unknown,info@westclinicalresearch.com,https://www.linkedin.com/company/westclinicalresearch,No,Yes - Active recruiting with study-related care at no cost,"ClinicalTrials.gov signal: 5 recruiting trials across 1 location(s), states: North Carolina. Nimble, locally-owned Eastern NC research site with 15 employees (as of LinkedIn data). Modern facility with private exam rooms, on-site lab, temperature-controlled storage. Multi-specialty approach with emphasis on community-based research. Strong patient retention and recruitment focus. CEO Luke Snedaker active in clinical research operations leadership."
New Hope Clinical Research,https://www.newhopeclinicalresearch.com/,"Charlotte, North Carolina",Independent Site,1,North Carolina,6,90,81,91,94,96,773,411,96,81,245,95,271,459,841945,1994,32,1540,high,221,129,72,633,National Cancer Institute (NCI); SWOG Cancer Research Network; Merck Sharp & Dohme LLC; Pfizer; Children's Oncology Group; Alliance for Clinical Trials in Oncology,"Acrotech Biopharma Inc.; IQVIA Pty Ltd; Laboratorios Liconsa; MacroGenics; Medpace, Inc.; PPD Development, LP",26311,90,57,95,,,,,,,,,,,"Psychiatry, Neurology, Neuroscience, CNS, Depression, Schizophrenia, Alzheimer's Disease, Bipolar Disorder, PTSD",,English,,,2+,10+,Multiple pharma sponsors,Multiple CROs,Duke fellowship program mentioned (founder),,"Single Charlotte, NC location",,,"Private, Founded 2009/2012",,,,Phase I-IV trial descriptions; active study listings,Y,Y,Y,Y,Unknown,N,Unknown,Y,"Tammy Rader, MBA (Founder & CEO)",Unknown,Unknown,Unknown,,https://www.linkedin.com/company/new-hope-specialty-clinic/,N,High - Phase I-IV specialized facility with FDA audit clearance (no findings),"Phase I-IV facility with founder Tammy Rader (22+ years industry experience). FDA routine inspection with zero findings (rare: only 20% of FDA inspections result in no significant deficiencies). CNS-focused specialty. ctgov_note: 7 recruiting trials across 1 location(s), states: North Carolina"
